bin_start_ms,aoi,prop_fixating,trial,condition,target_pos,subject_nr
0.0,pos2,0.0,4,restrictive,2,1
0.0,pos3,0.0,4,restrictive,2,1
0.0,pos4,0.0,4,restrictive,2,1
0.0,subject,0.0,4,restrictive,2,1
50.0,pos1,0.0,4,restrictive,2,1
50.0,pos2,0.0,4,restrictive,2,1
50.0,pos3,0.0,4,restrictive,2,1
50.0,pos4,0.0,4,restrictive,2,1
50.0,subject,0.0,4,restrictive,2,1
100.0,pos1,0.0,4,restrictive,2,1
100.0,pos2,0.0,4,restrictive,2,1
100.0,pos3,0.0,4,restrictive,2,1
100.0,pos4,0.0,4,restrictive,2,1
100.0,subject,0.0,4,restrictive,2,1
150.0,pos1,0.0,4,restrictive,2,1
150.0,pos2,0.0,4,restrictive,2,1
150.0,pos3,0.0,4,restrictive,2,1
150.0,pos4,0.0,4,restrictive,2,1
150.0,subject,0.0,4,restrictive,2,1
200.0,pos1,0.0,4,restrictive,2,1
200.0,pos2,0.0,4,restrictive,2,1
200.0,pos3,0.0,4,restrictive,2,1
200.0,pos4,0.0,4,restrictive,2,1
200.0,subject,0.0,4,restrictive,2,1
250.0,pos1,0.0,4,restrictive,2,1
250.0,pos2,0.0,4,restrictive,2,1
250.0,pos3,0.0,4,restrictive,2,1
250.0,pos4,0.0,4,restrictive,2,1
250.0,subject,0.0,4,restrictive,2,1
0.0,pos1,0.0,6,non-restrictive,3,1
0.0,pos2,1.0,6,non-restrictive,3,1
0.0,pos3,0.0,6,non-restrictive,3,1
0.0,pos4,0.0,6,non-restrictive,3,1
0.0,subject,0.0,6,non-restrictive,3,1
50.0,pos1,0.0,6,non-restrictive,3,1
50.0,pos2,1.0,6,non-restrictive,3,1
50.0,pos3,0.0,6,non-restrictive,3,1
50.0,pos4,0.0,6,non-restrictive,3,1
50.0,subject,0.0,6,non-restrictive,3,1
100.0,pos1,0.0,6,non-restrictive,3,1
100.0,pos2,1.0,6,non-restrictive,3,1
100.0,pos3,0.0,6,non-restrictive,3,1
100.0,pos4,0.0,6,non-restrictive,3,1
100.0,subject,0.0,6,non-restrictive,3,1
150.0,pos1,0.0,6,non-restrictive,3,1
150.0,pos2,0.3652,6,non-restrictive,3,1
150.0,pos3,0.0,6,non-restrictive,3,1
150.0,pos4,0.0,6,non-restrictive,3,1
150.0,subject,0.0,6,non-restrictive,3,1
200.0,pos1,0.0,6,non-restrictive,3,1
200.0,pos2,0.0,6,non-restrictive,3,1
200.0,pos3,0.0,6,non-restrictive,3,1
200.0,pos4,0.0,6,non-restrictive,3,1
200.0,subject,0.0,6,non-restrictive,3,1
250.0,pos1,0.0,6,non-restrictive,3,1
250.0,pos2,0.0,6,non-restrictive,3,1
250.0,pos3,0.0,6,non-restrictive,3,1
250.0,pos4,0.0,6,non-restrictive,3,1
250.0,subject,0.0,6,non-restrictive,3,1
0.0,pos1,0.0,7,non-restrictive,1,1
0.0,pos2,0.0,7,non-restrictive,1,1
0.0,pos3,0.0,7,non-restrictive,1,1
0.0,pos4,0.0,7,non-restrictive,1,1
0.0,subject,0.0,7,non-restrictive,1,1
50.0,pos1,0.0,7,non-restrictive,1,1
50.0,pos2,0.0,7,non-restrictive,1,1
50.0,pos3,0.0,7,non-restrictive,1,1
50.0,pos4,0.0,7,non-restrictive,1,1
50.0,subject,0.0,7,non-restrictive,1,1
100.0,pos1,0.0,7,non-restrictive,1,1
100.0,pos2,0.0,7,non-restrictive,1,1
100.0,pos3,0.0,7,non-restrictive,1,1
100.0,pos4,0.0,7,non-restrictive,1,1
100.0,subject,0.0,7,non-restrictive,1,1
150.0,pos1,0.0,7,non-restrictive,1,1
150.0,pos2,0.0,7,non-restrictive,1,1
150.0,pos3,0.0,7,non-restrictive,1,1
150.0,pos4,0.0,7,non-restrictive,1,1
150.0,subject,0.0,7,non-restrictive,1,1
200.0,pos1,0.0,7,non-restrictive,1,1
200.0,pos2,0.0,7,non-restrictive,1,1
200.0,pos3,0.0,7,non-restrictive,1,1
200.0,pos4,0.0,7,non-restrictive,1,1
200.0,subject,0.0,7,non-restrictive,1,1
250.0,pos1,0.0,7,non-restrictive,1,1
250.0,pos2,0.0,7,non-restrictive,1,1
250.0,pos3,0.0,7,non-restrictive,1,1
250.0,pos4,0.0,7,non-restrictive,1,1
250.0,subject,0.0,7,non-restrictive,1,1
0.0,pos1,0.0,8,restrictive,4,1
0.0,pos2,0.0,8,restrictive,4,1
0.0,pos3,0.0,8,restrictive,4,1
0.0,pos4,0.0,8,restrictive,4,1
0.0,subject,0.0,8,restrictive,4,1
50.0,pos1,0.0,8,restrictive,4,1
50.0,pos2,0.0,8,restrictive,4,1
50.0,pos3,0.0,8,restrictive,4,1
50.0,pos4,0.0,8,restrictive,4,1
50.0,subject,0.0,8,restrictive,4,1
100.0,pos1,0.0,8,restrictive,4,1
100.0,pos2,0.0,8,restrictive,4,1
100.0,pos3,0.0,8,restrictive,4,1
100.0,pos4,0.0,8,restrictive,4,1
100.0,subject,0.0,8,restrictive,4,1
150.0,pos1,0.0,8,restrictive,4,1
150.0,pos2,0.0,8,restrictive,4,1
150.0,pos3,0.0,8,restrictive,4,1
150.0,pos4,0.0,8,restrictive,4,1
150.0,subject,0.0,8,restrictive,4,1
200.0,pos1,0.0,8,restrictive,4,1
200.0,pos2,0.0,8,restrictive,4,1
200.0,pos3,0.0,8,restrictive,4,1
200.0,pos4,0.0,8,restrictive,4,1
200.0,subject,0.0,8,restrictive,4,1
250.0,pos1,0.0,8,restrictive,4,1
250.0,pos2,0.0,8,restrictive,4,1
250.0,pos3,0.0,8,restrictive,4,1
250.0,pos4,0.0,8,restrictive,4,1
250.0,subject,0.0,8,restrictive,4,1
300.0,pos1,0.0,8,restrictive,4,1
